date,count
08 Feb 1917,21
09 Feb 1917,32
10 Feb 1917,41
11 Feb 1917,29
12 Feb 1917,27
13 Feb 1917,40
14 Feb 1917,23
15 Feb 1917,38
16 Feb 1917,20
17 Feb 1917,18
18 Feb 1917,26
19 Feb 1917,16
20 Feb 1917,26
21 Feb 1917,25
22 Feb 1917,35
23 Feb 1917,30
24 Feb 1917,115
25 Feb 1917,71
26 Feb 1917,100
27 Feb 1917,43
28 Feb 1917,45
01 Mar 1917,105
02 Mar 1917,48
03 Mar 1917,38
04 Mar 1917,26
05 Mar 1917,38
06 Mar 1917,24
07 Mar 1917,23
08 Mar 1917,40
09 Mar 1917,22
10 Mar 1917,34
11 Mar 1917,26
12 Mar 1917,37
13 Mar 1917,62
14 Mar 1917,26
15 Mar 1917,21
16 Mar 1917,20
17 Mar 1917,15
18 Mar 1917,15
19 Mar 1917,71
20 Mar 1917,20
21 Mar 1917,18
22 Mar 1917,40
23 Mar 1917,24
24 Mar 1917,33
25 Mar 1917,128
26 Mar 1917,42
27 Mar 1917,32
28 Mar 1917,30
29 Mar 1917,17
30 Mar 1917,29
31 Mar 1917,18
01 Apr 1917,295
02 Apr 1917,38
03 Apr 1917,26
04 Apr 1917,40
05 Apr 1917,92
06 Apr 1917,35
07 Apr 1917,58
08 Apr 1917,156
09 Apr 1917,58
10 Apr 1917,864
11 Apr 1917,57
12 Apr 1917,33
13 Apr 1917,30
14 Apr 1917,253
15 Apr 1917,75
16 Apr 1917,35
17 Apr 1917,43
18 Apr 1917,126
19 Apr 1917,47
20 Apr 1917,44
21 Apr 1917,51
22 Apr 1917,51
23 Apr 1917,20
24 Apr 1917,32
25 Apr 1917,15
26 Apr 1917,28
27 Apr 1917,17
28 Apr 1917,29
29 Apr 1917,34
30 Apr 1917,30
01 May 1917,46
02 May 1917,945
03 May 1917,134
04 May 1917,279
05 May 1917,168
06 May 1917,117
07 May 1917,59
08 May 1917,64
09 May 1917,68
10 May 1917,42
11 May 1917,107
12 May 1917,41
13 May 1917,32
14 May 1917,115
15 May 1917,20
16 May 1917,17
17 May 1917,31
18 May 1917,12
19 May 1917,21
20 May 1917,16
21 May 1917,11
22 May 1917,15
23 May 1917,11
24 May 1917,18
25 May 1917,14
26 May 1917,10
27 May 1917,42
28 May 1917,36
29 May 1917,13
30 May 1917,20
31 May 1917,39
01 Jun 1917,24
02 Jun 1917,24
03 Jun 1917,39
04 Jun 1917,37
05 Jun 1917,23
06 Jun 1917,712
07 Jun 1917,278
08 Jun 1917,159
09 Jun 1917,185
10 Jun 1917,97
11 Jun 1917,54
12 Jun 1917,34
13 Jun 1917,31
14 Jun 1917,13
15 Jun 1917,17
16 Jun 1917,8
17 Jun 1917,11
18 Jun 1917,12
19 Jun 1917,9
20 Jun 1917,10
21 Jun 1917,11
22 Jun 1917,25
23 Jun 1917,21
24 Jun 1917,27
25 Jun 1917,14
26 Jun 1917,17
27 Jun 1917,17
28 Jun 1917,13
29 Jun 1917,13
30 Jun 1917,21
01 Jul 1917,10
02 Jul 1917,23
03 Jul 1917,15
04 Jul 1917,21
05 Jul 1917,16
06 Jul 1917,26
07 Jul 1917,22
08 Jul 1917,15
09 Jul 1917,33
10 Jul 1917,32
11 Jul 1917,12
12 Jul 1917,34
13 Jul 1917,18
14 Jul 1917,29
15 Jul 1917,36
16 Jul 1917,26
17 Jul 1917,17
18 Jul 1917,13
19 Jul 1917,20
